cardNumber;name;team;nationality;speciality;rarity;season;ftp;sprint;climbing;endurance;ttRating;imageUrl
UCI-2025-037;Ilan Van Wilder;Soudal Quick-Step;BEL;gc;rare;2025;5.3;1260;80;83;76;
UCI-2025-038;Clément Berthet;Decathlon AG2R La Mondiale;FRA;climber;rare;2025;5.2;1200;80;81;70;
UCI-2025-039;Valentin Paret-Peintre;Soudal Quick-Step;FRA;climber;rare;2025;5.2;1220;78;81;70;
UCI-2025-040;Harold Tejada;XDS Astana Team;COL;climber;rare;2025;5.3;1210;82;82;68;
UCI-2025-041;Jordan Jegat;Team TotalEnergies;FRA;rouleur;rare;2025;5.1;1280;68;80;72;
UCI-2025-042;Michael Storer;Tudor Pro Cycling Team;AUS;puncheur;rare;2025;5.2;1290;78;80;70;
UCI-2025-043;Clément Venturini;Arkéa B&B Hotels;FRA;climber;rare;2025;5.1;1210;78;79;68;
UCI-2025-044;Carlos Rodríguez;Ineos Grenadiers;ESP;gc;rare;2025;5.5;1230;85;85;76;
UCI-2025-045;Marc Hirschi;Tudor Pro Cycling Team;SUI;puncheur;rare;2025;5.2;1340;74;80;70;
UCI-2025-046;Nils Politt;UAE Team Emirates XRG;GER;rouleur;common;2025;5.0;1520;60;83;74;
UCI-2025-047;Pavel Sivakov;UAE Team Emirates XRG;FRA;rouleur;common;2025;5.1;1240;72;82;70;
UCI-2025-048;Marc Soler;UAE Team Emirates XRG;ESP;climber;common;2025;5.2;1200;78;80;68;
UCI-2025-049;Tim Wellens;UAE Team Emirates XRG;BEL;puncheur;common;2025;5.0;1360;70;80;66;
UCI-2025-050;Edoardo Affini;Visma Lease a Bike;ITA;rouleur;common;2025;5.1;1280;62;80;82;
UCI-2025-051;Tiesj Benoot;Visma Lease a Bike;BEL;rouleur;common;2025;5.0;1380;65;80;70;
UCI-2025-052;Mattia Cattaneo;Soudal Quick-Step;ITA;rouleur;common;2025;5.1;1260;68;80;74;
UCI-2025-053;Pascal Eenkhoorn;Soudal Quick-Step;NED;rouleur;common;2025;5.0;1310;60;79;70;
UCI-2025-054;Tim Merlier;Soudal Quick-Step;BEL;sprinter;common;2025;4.9;1880;42;78;58;
UCI-2025-055;Maximilian Schachmann;Soudal Quick-Step;GER;puncheur;common;2025;5.1;1350;72;80;72;
UCI-2025-056;Bert Van Lerberghe;Soudal Quick-Step;BEL;rouleur;common;2025;4.9;1450;55;76;68;
UCI-2025-057;Vincenzo Albanese;EF Education EasyPost;ITA;puncheur;common;2025;5.0;1290;70;78;66;
UCI-2025-058;Kasper Asgreen;EF Education EasyPost;DEN;rouleur;common;2025;5.1;1320;65;80;78;
UCI-2025-059;Alex Baudin;EF Education EasyPost;FRA;climber;common;2025;5.1;1200;78;80;68;
UCI-2025-060;Neilson Powless;EF Education EasyPost;USA;puncheur;common;2025;5.1;1310;74;80;70;
UCI-2025-061;Harry Sweeny;EF Education EasyPost;AUS;rouleur;common;2025;5.0;1280;65;79;68;
UCI-2025-062;Michael Valgren;EF Education EasyPost;DEN;puncheur;common;2025;5.0;1330;68;78;66;
UCI-2025-063;Louis Barré;Intermarché Wanty;FRA;climber;common;2025;5.0;1200;74;78;66;
UCI-2025-064;Hugo Page;Intermarché Wanty;FRA;rouleur;common;2025;5.0;1280;65;78;68;
UCI-2025-065;Jonas Rutsch;Intermarché Wanty;GER;rouleur;common;2025;5.0;1310;62;78;70;
UCI-2025-066;Santiago Buitrago;Team Bahrain Victorious;COL;climber;common;2025;5.3;1210;82;82;68;
UCI-2025-067;Phil Bauhaus;Team Bahrain Victorious;GER;sprinter;common;2025;4.9;1820;42;76;56;
UCI-2025-068;Lenny Martinez;Team Bahrain Victorious;FRA;climber;common;2025;5.2;1200;80;80;68;
UCI-2025-069;Matej Mohorič;Team Bahrain Victorious;SVN;rouleur;common;2025;5.1;1380;68;80;70;
UCI-2025-070;Fred Wright;Team Bahrain Victorious;GBR;rouleur;common;2025;5.0;1290;65;78;68;
UCI-2025-071;Robert Stannard;Team Bahrain Victorious;AUS;rouleur;common;2025;4.9;1280;62;76;66;
UCI-2025-072;Geraint Thomas;Ineos Grenadiers;GBR;gc;common;2025;5.4;1230;82;84;80;
UCI-2025-073;Tobias Foss;Ineos Grenadiers;NOR;rouleur;common;2025;5.2;1260;70;82;80;
UCI-2025-074;Filippo Ganna;Ineos Grenadiers;ITA;rouleur;common;2025;5.5;1680;65;85;96;
UCI-2025-075;Axel Laurance;Ineos Grenadiers;FRA;rouleur;common;2025;5.0;1280;68;78;70;
UCI-2025-076;Connor Swift;Ineos Grenadiers;GBR;sprinter;common;2025;4.9;1720;45;76;62;
UCI-2025-077;Jordi Meeus;Red Bull Bora Hansgrohe;BEL;sprinter;common;2025;4.9;1900;40;74;58;
UCI-2025-078;Gianni Moscon;Red Bull Bora Hansgrohe;ITA;rouleur;common;2025;5.0;1360;62;78;70;
UCI-2025-079;Laurence Pithie;Red Bull Bora Hansgrohe;NZL;sprinter;common;2025;5.0;1780;50;78;62;
UCI-2025-080;Aleksandr Vlasov;Red Bull Bora Hansgrohe;RUS;climber;common;2025;5.3;1220;82;82;72;
UCI-2025-081;Jonathan Milan;Lidl Trek;ITA;sprinter;common;2025;5.0;1940;42;76;60;
UCI-2025-082;Thibau Nys;Lidl Trek;BEL;rouleur;common;2025;5.0;1380;68;78;68;
UCI-2025-083;Quinn Simmons;Lidl Trek;USA;rouleur;common;2025;5.1;1350;68;79;70;
UCI-2025-084;Mattias Skjelmose;Lidl Trek;DEN;gc;common;2025;5.3;1200;82;83;78;
UCI-2025-085;Toms Skujiņš;Lidl Trek;LAT;puncheur;common;2025;5.0;1310;70;78;66;
UCI-2025-086;Jasper Stuyven;Lidl Trek;BEL;rouleur;common;2025;5.1;1450;65;79;70;
UCI-2025-087;Lewis Askey;Groupama FDJ;GBR;climber;common;2025;5.0;1200;72;78;68;
UCI-2025-088;Quentin Pacher;Groupama FDJ;FRA;climber;common;2025;5.1;1190;78;79;68;
UCI-2025-089;Clément Russo;Groupama FDJ;FRA;rouleur;common;2025;5.0;1260;62;78;68;
UCI-2025-090;Silvan Dillier;Alpecin Deceuninck;SUI;rouleur;common;2025;5.0;1380;58;78;70;
UCI-2025-091;Kaden Groves;Alpecin Deceuninck;AUS;sprinter;common;2025;5.0;1820;44;78;58;
UCI-2025-092;Jonas Rickaert;Alpecin Deceuninck;BEL;rouleur;common;2025;4.9;1390;58;76;66;
UCI-2025-093;Gianni Vermeersch;Alpecin Deceuninck;BEL;rouleur;common;2025;5.0;1360;60;78;68;
UCI-2025-094;Emiel Verstrynge;Alpecin Deceuninck;BEL;climber;common;2025;5.1;1240;76;79;68;
UCI-2025-095;Julian Alaphilippe;Tudor Pro Cycling Team;FRA;puncheur;common;2025;5.2;1450;78;82;70;
UCI-2025-096;Alberto Dainese;Tudor Pro Cycling Team;ITA;sprinter;common;2025;4.9;1760;42;74;56;
UCI-2025-097;Marc Hirschi;Tudor Pro Cycling Team;SUI;puncheur;rare;2025;5.2;1340;74;80;70;
UCI-2025-098;Marius Mayrhofer;Tudor Pro Cycling Team;GER;sprinter;common;2025;4.9;1720;44;74;58;
UCI-2025-099;Matteo Trentin;Tudor Pro Cycling Team;ITA;sprinter;common;2025;5.0;1700;50;76;62;
UCI-2025-100;Luke Durbridge;Team Jayco AlUla;AUS;rouleur;common;2025;5.1;1320;60;79;78;
UCI-2025-101;Dylan Groenewegen;Team Jayco AlUla;NED;sprinter;common;2025;4.9;1860;40;74;56;
UCI-2025-102;Luke Plapp;Team Jayco AlUla;AUS;rouleur;common;2025;5.1;1280;68;79;74;
UCI-2025-103;Mauro Schmid;Team Jayco AlUla;SUI;rouleur;common;2025;5.0;1290;66;78;70;
UCI-2025-104;Amaury Capiot;Arkéa B&B Hotels;BEL;sprinter;common;2025;4.9;1760;42;74;56;
UCI-2025-105;Ewen Costiou;Arkéa B&B Hotels;FRA;climber;common;2025;5.1;1200;76;79;68;
UCI-2025-106;Arnaud Démare;Arkéa B&B Hotels;FRA;sprinter;common;2025;5.0;1880;40;76;58;
UCI-2025-107;Mathis Le Berre;Arkéa B&B Hotels;FRA;climber;common;2025;5.0;1210;74;78;66;
UCI-2025-108;Will Barta;Movistar Team;USA;rouleur;common;2025;5.0;1260;64;78;68;
UCI-2025-109;Pablo Castrillo;Movistar Team;ESP;climber;common;2025;5.1;1190;76;79;66;
UCI-2025-110;Nelson Oliveira;Movistar Team;POR;rouleur;common;2025;5.0;1270;60;78;72;
UCI-2025-111;Iván García Cortina;Movistar Team;ESP;rouleur;common;2025;5.0;1350;64;78;66;
UCI-2025-112;Iván Romeo;Movistar Team;ESP;climber;common;2025;5.0;1190;72;78;64;
UCI-2025-113;Enric Mas;Movistar Team;ESP;gc;common;2025;5.4;1230;84;83;74;
UCI-2025-114;Bruno Armirail;Decathlon AG2R La Mondiale;FRA;rouleur;common;2025;5.1;1270;64;80;74;
UCI-2025-115;Stefan Bissegger;Decathlon AG2R La Mondiale;SUI;rouleur;common;2025;5.2;1350;62;81;82;
UCI-2025-116;Oliver Naesen;Decathlon AG2R La Mondiale;BEL;rouleur;common;2025;5.0;1420;64;78;68;
UCI-2025-117;Bastien Tronchon;Decathlon AG2R La Mondiale;FRA;climber;common;2025;5.0;1210;74;78;66;
UCI-2025-118;Emanuel Buchmann;Cofidis;GER;climber;common;2025;5.2;1200;80;81;70;
UCI-2025-119;Alex Aranburu;Cofidis;ESP;puncheur;common;2025;5.0;1460;72;79;67;
UCI-2025-120;Ion Izagirre;Cofidis;ESP;climber;common;2025;5.1;1210;78;79;68;
UCI-2025-121;Dylan Teuns;Cofidis;BEL;puncheur;common;2025;5.1;1310;74;80;68;
UCI-2025-122;Benjamin Thomas;Cofidis;FRA;rouleur;common;2025;5.0;1270;62;78;70;
UCI-2025-123;Damien Touzé;Cofidis;FRA;rouleur;common;2025;4.9;1260;60;76;66;
UCI-2025-124;Davide Ballerini;XDS Astana Team;ITA;sprinter;common;2025;4.9;1780;44;74;58;
UCI-2025-125;Clément Champoussin;XDS Astana Team;FRA;climber;common;2025;5.0;1200;74;78;66;
UCI-2025-126;Mike Teunissen;XDS Astana Team;NED;rouleur;common;2025;5.0;1350;62;78;68;
UCI-2025-127;Simone Velasco;XDS Astana Team;ITA;puncheur;common;2025;5.0;1310;68;78;64;
UCI-2025-128;Mathieu Burgaudeau;Team TotalEnergies;FRA;sprinter;common;2025;4.9;1720;46;76;58;
UCI-2025-129;Alexandre Delettre;Team TotalEnergies;FRA;rouleur;common;2025;5.0;1270;64;78;68;
UCI-2025-130;Thomas Gachignard;Team TotalEnergies;FRA;rouleur;common;2025;5.0;1260;62;78;66;
UCI-2025-131;Anthony Turgis;Team TotalEnergies;FRA;puncheur;common;2025;5.1;1380;72;79;68;
UCI-2025-132;Pavel Bittner;Team Picnic PostNL;CZE;sprinter;common;2025;4.9;1780;42;74;56;
UCI-2025-133;Tobias Lund Andresen;Team Picnic PostNL;DEN;sprinter;common;2025;4.9;1720;44;74;56;
UCI-2025-134;Tim Naberman;Team Picnic PostNL;NED;rouleur;common;2025;5.0;1270;64;78;68;
UCI-2025-135;Michael Woods;Israel Premier Tech;CAN;climber;common;2025;5.2;1220;80;80;70;
UCI-2025-136;Pascal Ackermann;Israel Premier Tech;GER;sprinter;common;2025;4.9;1840;40;74;56;
UCI-2025-137;Joseph Blackmore;Israel Premier Tech;GBR;climber;common;2025;5.1;1200;74;79;68;
UCI-2025-138;Matis Louvel;Israel Premier Tech;FRA;sprinter;common;2025;4.9;1720;46;74;56;
UCI-2025-139;Alexey Lutsenko;Israel Premier Tech;KAZ;puncheur;common;2025;5.1;1330;72;79;68;
UCI-2025-140;Krists Neilands;Israel Premier Tech;LAT;rouleur;common;2025;5.0;1280;66;78;68;
UCI-2025-141;Arnaud De Lie;Lotto;BEL;sprinter;common;2025;5.0;1880;44;76;58;
UCI-2025-142;Jenno Berckmoes;Lotto;BEL;climber;common;2025;5.0;1230;72;78;66;
UCI-2025-143;Eduardo Sepúlveda;Lotto;ARG;climber;common;2025;5.0;1200;72;78;64;
UCI-2025-144;Brent Van Moer;Lotto;BEL;rouleur;common;2025;5.0;1320;64;78;68;
UCI-2025-145;Jonas Abrahamsen;Uno-X Mobility;NOR;climber;common;2025;5.1;1200;76;79;66;
UCI-2025-146;Magnus Cort;Uno-X Mobility;DEN;puncheur;common;2025;5.1;1380;72;79;68;
UCI-2025-147;Markus Hoelgaard;Uno-X Mobility;NOR;rouleur;common;2025;5.0;1310;64;78;68;
UCI-2025-148;Anders Halland Johannessen;Uno-X Mobility;NOR;climber;common;2025;5.1;1210;76;79;66;
UCI-2025-149;Andreas Leknessund;Uno-X Mobility;NOR;gc;common;2025;5.2;1220;78;80;72;
